S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-27,197.60,197.60,197.60,197.60,0.00,910.00,"179,816.00"
2,2026-08-26,197.6,197.6,197.6,197.6,-5.0,"27,138.00","5,362,468.80"
3,2026-07-01,208.0,208.0,208.0,208.0,0.0,"88,402.00","18,387,616.00"
4,2026-04-21,210.0,210.0,210.0,210.0,-2.33,"71,000.00","14,910,000.00"
5,2026-04-07,215.0,215.0,215.0,215.0,-1.38,"43,486.00","9,349,490.00"
6,2025-10-19,200.0,200.0,200.0,200.0,0.0,"299,996.00","59,999,200.00"
7,2025-08-25,200.0,200.0,200.0,200.0,0.0,"86,249.00","17,249,800.00"
8,2025-08-24,200.0,200.0,200.0,200.0,0.0,"8,625.00","1,725,000.00"
9,2025-08-11,200.0,200.0,200.0,200.0,0.0,"18,200.00","3,640,000.00"
10,2025-07-14,200.0,200.0,200.0,200.0,0.0,"19,447.00","3,889,400.00"
11,2025-07-06,200.0,200.0,200.0,200.0,-0.5,"43,125.00","8,625,000.00"
12,2025-06-26,201.0,201.0,201.0,201.0,0.0,"68,244.00","13,717,044.00"
13,2025-06-17,201.0,201.0,201.0,201.0,0.0,"50,000.00","10,050,000.00"
14,2025-06-12,204.0,204.0,201.0,201.0,-2.38,"1,187,143.00","239,994,672.00"
15,2025-06-11,210.1,210.1,205.9,205.9,-3.92,"68,200.00","14,118,820.00"
16,2025-06-10,218.6,218.6,214.3,214.3,-3.9,"68,250.00","14,841,185.70"
17,2025-06-09,223.0,223.0,223.0,223.0,0.0,"36,400.00","8,117,200.00"
