S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-18,443.00,443.00,443.00,443.00,0.00,"5,000.00","2,215,000.00"
2,2026-07-27,443.00,443.00,443.00,443.00,0.0,"4,314.00","1,911,102.00"
3,2026-07-24,443.00,443.00,443.00,443.00,0.0,"20,000.00","8,860,000.00"
4,2026-07-22,443.00,443.00,443.00,443.00,-2.85,"14,000.00","6,202,000.00"
5,2026-07-01,456.00,456.00,456.00,456.00,0.0,"1,038.00","473,328.00"
6,2026-06-29,456.00,456.00,456.00,456.00,0.0,"1,038.00","473,328.00"
7,2026-06-11,456.00,456.00,456.00,456.00,0.66,"2,000.00","912,000.00"
8,2026-02-16,453.00,453.00,453.00,453.00,0.0,"5,000.00","2,265,000.00"
9,2026-01-21,453.00,453.00,453.00,453.00,0.0,"7,285.00","3,300,105.00"
10,2026-01-20,453.00,453.00,453.00,453.00,-0.18,"7,285.00","3,300,105.00"
11,2026-01-18,453.80,453.80,453.80,453.80,-1.99,"2,914.00","1,322,373.20"
12,2026-01-06,463.00,463.00,463.00,463.00,0.0,"14,541.00","6,732,483.00"
13,2025-07-06,496.00,496.00,496.00,496.00,0.0,"6,000.00","2,976,000.00"
14,2025-01-26,499.00,499.00,499.00,499.00,0.0,"2,500.00","1,247,500.00"
15,2024-02-22,410.00,410.00,410.00,410.00,0.0,"20,000.00","8,200,000.00"
16,2023-12-28,410.00,410.00,410.00,410.00,0.0,"8,690.00","3,562,900.00"
17,2023-12-05,410.00,410.00,410.00,410.00,0.0,"4,000.00","1,640,000.00"
18,2023-11-23,410.00,410.00,410.00,410.00,0.0,"2,440.00","1,000,400.00"
19,2023-10-01,410.00,410.00,410.00,410.00,0.0,"4,900.00","2,009,000.00"
20,2023-08-02,410.00,410.00,410.00,410.00,-1.91,"6,000.00","2,460,000.00"
21,2023-05-04,303.00,303.00,303.00,303.00,0.0,"3,050.00","924,150.00"
22,2022-12-11,288.00,288.00,288.00,288.00,0.0,"4,564.00","1,314,432.00"
23,2022-10-19,288.00,288.00,288.00,288.00,0.0,"2,000.00","576,000.00"
24,2022-09-16,288.00,288.00,288.00,288.00,0.0,"10,000.00","2,880,000.00"
25,2021-12-22,523.00,523.00,523.00,523.00,0.0,"2,500.00","1,307,500.00"
26,2021-09-29,810.00,810.00,810.00,810.00,0.0,"3,000.00","2,430,000.00"
27,2021-09-27,810.00,810.00,810.00,810.00,0.0,"6,480.00","5,248,800.00"
28,2021-09-22,810.00,810.00,810.00,810.00,0.0,"5,000.00","4,050,000.00"
29,2021-07-12,810.00,810.00,810.00,810.00,0.0,"20,000.00","16,200,000.00"
30,2021-06-21,810.00,810.00,810.00,810.00,0.0,"7,000.00","5,670,000.00"
31,2021-01-20,642.00,642.00,642.00,642.00,0.0,"7,500.00","4,815,000.00"
32,2021-01-11,642.00,642.00,642.00,642.00,0.0,"15,858.00","10,180,836.00"
33,2020-09-22,450.00,450.00,450.00,450.00,0.0,"7,000.00","3,150,000.00"
34,2020-08-25,450.00,450.00,450.00,450.00,0.0,"10,000.00","4,500,000.00"
35,2020-07-14,262.00,262.00,262.00,262.00,0.0,"46,000.00","12,052,000.00"
36,2019-08-19,262.00,262.00,262.00,262.00,0.0,"8,000.00","2,096,000.00"
37,2019-07-11,262.00,262.00,262.00,262.00,0.0,"6,000.00","1,572,000.00"
38,2019-05-09,262.00,262.00,262.00,262.00,-1.87,"5,600.00","1,467,200.00"
39,2019-04-01,267.00,267.00,267.00,267.00,8.1,"3,000.00","801,000.00"
40,2019-03-28,267.00,267.00,247.00,247.00,-63.41,"9,063.00","2,251,361.00"
41,2018-05-06,675.00,675.00,675.00,675.00,0.0,"1,000.00","675,000.00"
42,2017-03-28,"1,000.00","1,000.00","1,000.00","1,000.00",0.0,"6,304.00","6,304,000.00"
43,2017-03-23,"1,000.00","1,000.00","1,000.00","1,000.00",0.0,"1,521.00","1,521,000.00"
44,2016-10-03,"1,000.00","1,000.00","1,000.00","1,000.00",0.0,"4,838.00","4,838,000.00"
45,2016-10-02,"1,000.00","1,000.00","1,000.00","1,000.00",0.0,"9,257.00","9,257,000.00"
46,2016-08-23,"1,000.00","1,000.00","1,000.00","1,000.00",0.0,"1,000.00","1,000,000.00"
47,2016-08-21,"1,000.00","1,000.00","1,000.00","1,000.00",0.0,"3,419.00","3,419,000.00"
48,2016-08-10,"1,100.00","1,078.00","1,000.00","1,000.00",0.0,"5,838.00","5,839,870.00"
49,2016-07-28,"1,221.00","1,197.00","1,100.00","1,100.00",0.0,"9,440.00","10,386,560.00"
